Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1017981,Martin Ruck,Psychology,PSYC01,3.0,4.0,No Grade,0,0,I didn't find his class challenging at all.  He teaches more at a masters level than at a doctoral level.  He is condescending at times.,"Jun 2nd, 2012",CUNY Graduate Center
1017981,Martin Ruck,Psychology,MTHDSI,3.0,2.0,No Grade,0,0,No Comments,"Sep 22nd, 2007",CUNY Graduate Center
1017982,Anna Stetsenko,Psychology,DEV101,5.0,3.0,A,0,0,"Anna's class was great. She left the floor open for discussion and encouraged students to share their ideas with the rest of the class. You aren't graded on very much, but I thought that was good because it gave me time to perfect everything that she did have us do.","Oct 4th, 2023",CUNY Graduate Center
1017982,Anna Stetsenko,Psychology,DEV101,5.0,3.0,No Grade,1,0,"Dr. Stetsenko practices what she preaches - her classes are open fora for students to explore the subject matter and readings from their own positions, and to learn in their own pace. The level is high and the texts demanding, but Dr. Stetsenko efforts to challenge and support students to think, learn, and develop their scholarship are laudable.","Nov 26th, 2017",CUNY Graduate Center
1017982,Anna Stetsenko,Psychology,DEV1,4.0,4.0,A-,2,0,"Until today it remains the most important course of my academic career. I wish I would have ""rated"" it sooner but now that I am myself an instructor I truly understand the value in this kind of feedback. The readings were challenging but Anna never underestimated our capacity to continuously develop. How we understand human development matters!","Aug 19th, 2017",CUNY Graduate Center
1017982,Anna Stetsenko,Psychology,DEV1,5.0,5.0,A,4,0,"Stetsenko's class changed my life. The material she provided was thoughtful, very challenging and worth the arduous classwork. I am very grateful for a professor like Dr. Stetsenko because she is there to help her students edify their work, not hers (which she is also very passionate about).She believes in her students infinite potential & beyond!","May 15th, 2017",CUNY Graduate Center
1017982,Anna Stetsenko,Psychology,DEV1,5.0,4.0,A,3,0,She is an amazing professor. Her passion is evident in the classroom and she genuinely wants students to learn. She presents arguments from multiple sides and lets you decide for yourself. Breaks down theoretical concepts and makes them easy to understand.  I've taken multiple classes with her. She will change your life and how you view the world!,"Apr 6th, 2017",CUNY Graduate Center
1017982,Anna Stetsenko,Psychology,DEV1,3.0,4.0,No Grade,2,0,"She's a difficult teacher to have if she doesn't like you to begin with! She can play favorites with her students and sometimes really chews some of them out. Still, she's obviously smart and you will learn a LOT about her favored theories and Vygotsky from her. It's too bad she doesn't balance it out more, however.","Sep 26th, 2009",CUNY Graduate Center
1017982,Anna Stetsenko,Psychology,DEV101,1.0,2.0,No Grade,0,2,The woman is obsessed with one thing and one thing only -- Vygotsky and activity theory.   Most of the time she makes no sense; students just speak to fill up the class time.  At the doctoral level she should teach students things that will be useful for teaching undergraduates or the types of research skills necessary for finding a job after gradu,"Jul 23rd, 2008",CUNY Graduate Center
1017984,Herbert Salzstein,Psychology,BC21,2.5,3.0,No Grade,0,0,He's a very nice guy and obviously very smart but his class was very boring and his readings were a complete and utter snooze. He always gives a final term paper and sometimes a midterm and gives helpful feedback on that. It's just that I feel like I learned nothing from his class afterward! Nice guy but I wouldn't take a class with him again.,"Sep 26th, 2009",CUNY Graduate Center
1031491,Gary Winkel,Psychology,PSYCH706,4.0,3.0,No Grade,0,0,a good teacher,"Apr 27th, 2011",CUNY Graduate Center
1031491,Gary Winkel,Psychology,PSYCH706,4.5,3.0,No Grade,0,0,great in many ways,"Apr 27th, 2011",CUNY Graduate Center
1031491,Gary Winkel,Psychology,STAT706,3.0,1.0,No Grade,0,0,not sure,"Apr 27th, 2011",CUNY Graduate Center
1031491,Gary Winkel,Psychology,PSY705,5.0,1.0,No Grade,3,0,Gary is the best stats professor I've ever had.  He brings such clarity to complex analyses.  He is so dedicated to teaching and has the patience of a Saint with his students.  He has helped me reclaim my love of math and applied statistics.  He grounds research techniques so you can understand them and how they work in real life.  Simply the best!,"Nov 11th, 2009",CUNY Graduate Center
1069146,Michelle Fine,Psychology,PSY80103,5.0,3.0,A,0,0,Michelle Fine is awesome! Every class she would bring snacks for us. She encourages students to reflect on their own journeys and look to the future: where they want to be and how they want to change the discipline for the better. I found all the assignments somewhat tough but very helpful.,"Oct 4th, 2023",CUNY Graduate Center
1069146,Michelle Fine,Psychology,PSY80103,5.0,4.0,A,0,0,"Dr. Fine is a gem, a teacher who takes seriously the consequences of believing learning is about whole persons working together to understand themselves and their relationships to their worlds","Apr 27th, 2017",CUNY Graduate Center
1069146,Michelle Fine,Psychology,QUAL101,2.5,4.0,No Grade,0,0,Her methodologies were a little skewed. They might work in one section of the world but they might not work somewhere else. Had the sense that she's been published so many times that she knew everything and there wasn't room for an intellectual debate.,"Apr 25th, 2014",CUNY Graduate Center
1069146,Michelle Fine,Psychology,AA,5.0,4.0,No Grade,0,0,"The best teacher I've ever had. Unfortunately, I had to wait until graduate school to find the great teacher that everyone talks about as having changed their lives.","Sep 29th, 2011",CUNY Graduate Center
1069146,Michelle Fine,Psychology,QUAL101,5.0,4.0,No Grade,0,0,One of the Best Teachers I have ever had.,"Oct 20th, 2008",CUNY Graduate Center
1069146,Michelle Fine,Psychology,PSYMFGC,4.5,2.0,No Grade,0,0,Very helpful and educational too much reading though,"Dec 6th, 2007",CUNY Graduate Center
1100519,Dagmar Herzog,History,H1,5.0,4.0,No Grade,0,0,Brilliant. Like a roller coaster ride. Wonderful.,"Mar 10th, 2013",CUNY Graduate Center
1100519,Dagmar Herzog,History,HIST1,5.0,4.0,No Grade,0,0,Brilliant,"Apr 27th, 2008",CUNY Graduate Center
1102422,Giancarlo Lombardi,Literature,COMPLIT88500,5.0,2.0,Not_Sure_Yet,0,0,Lombardi is a prince. I love this guy.,"Oct 9th, 2013",CUNY Graduate Center
1102422,Giancarlo Lombardi,Literature,LIT101,4.5,2.0,No Grade,0,0,"Fun, personable, and knows his material.  Totally enjoyed taking his class and will take any class with him again!","Nov 15th, 2009",CUNY Graduate Center
1115216,Charlanne Burke,History,AFRS101,5.0,4.0,A,0,0,"Be prepare to WORK and READ. This is one of the classes I have had to work the most. Every week there's a DB post and 2 replies due, based on the week's readings, which can be a lot to read. There's 5 1hr-quizzes, and 6 blog post. There's one fieldwork. Overall, she does her job as a professor, and inspired me to continue learning about Africa.","May 26th, 2018",CUNY Graduate Center
1115216,Charlanne Burke,History,AFR101,5.0,4.0,No Grade,0,0,"Very good professor, actively involved.  Grades fairly.  Glad I took her class.","Aug 10th, 2011",CUNY Graduate Center
1115216,Charlanne Burke,History,AFRS101,5.0,3.0,No Grade,0,0,ONLINE -- Fantastic professor!  She can be tough so make sure you take the class seriously & use the discussion board.  Lots of reading but the books are intersting.  It's online but she's always very present and interested in her students.  She will give you a chance to pass the class!  She is wonderful!,"Mar 30th, 2008",CUNY Graduate Center
1135627,Hester Eisenstein,Sociology,SOC73200,3.0,1.0,No Grade,0,0,"Sociology of Gender: If you've never thought about gender in a semi-critical manner, go ahead and take this course.  You'll get a decent introduction but don't expect to walk away knowing the latest debates in this field.  Hester is very approachable but her perspective is limited.  Also, it took 2 years and much nagging to get feedback on my paper","May 23rd, 2016",CUNY Graduate Center
1178732,Christa Altenstetter,Political Science,EUPP,1.5,2.0,No Grade,0,0,should just publish,"Dec 21st, 2010",CUNY Graduate Center
1178732,Christa Altenstetter,Political Science,EUEU,1.5,2.0,No Grade,0,0,Will take some getting used to for some students.,"May 16th, 2009",CUNY Graduate Center
1178732,Christa Altenstetter,Political Science,POLPOLI,1.0,1.0,No Grade,0,0,"i did not enjoy her teaching style, and got very little from the class.","Feb 20th, 2009",CUNY Graduate Center
1178732,Christa Altenstetter,Political Science,EUPP,2.5,3.0,No Grade,0,0,No Comments,"Oct 8th, 2008",CUNY Graduate Center
1201478,Janet Gronick,Political Science,POLT8788,5.0,3.0,No Grade,0,0,"I'll agree with the previous rater, she was extremely clear about content and expectations. She requires students to present one weeks reading after which she leads discussions aroung the book. She also asks that you write four brief response papers, which help to keep you honest and on task with the reading. Overall a great experience.","Dec 14th, 2010",CUNY Graduate Center
1201478,Janet Gronick,Political Science,PSC7400,5.0,2.0,No Grade,0,0,Interesting lectures and discussion.  She is crystal clear both with regards to the material she presents and her expectations of you.,"Nov 10th, 2008",CUNY Graduate Center
