Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1037197,Susan Bryant,Law,EVI111,2.5,5.0,Rather not say,2,0,"Although she is a very nice person, she is not a good teacher.  Her problem supplements are time consuming and  unrelated to quizzes and tests.  In class time was wasted going over problem supplements.  She taught no rules, you had to learn them all on your own.  Class was all application, and that application never appeared on tests.  Wasted time.","Jan 7th, 2016",CUNY School of Law
1037197,Susan Bryant,Law,EVIDENCE,5.0,5.0,No Grade,1,0,If you wanT to know evidence- you have to take her. You will feel the difference later.,"Jul 10th, 2014",CUNY School of Law
1037197,Susan Bryant,Law,EVIDENCE,4.5,3.0,No Grade,0,0,"I've also had Sue Bryant for Professional Responsibility, and I highly recommend her. She is always thorough, clear, extremely well prepared, on-schedule and open for extra assistance.  I'm so impressed with how she runs each class and effectively employs different teaching techniques with such ease.  Take her!","Jan 10th, 2014",CUNY School of Law
1037197,Susan Bryant,Law,EVIDENCE,3.0,4.0,No Grade,0,0,"She will take out the time to help you, but her exams can be tricky. It's easy to make a simple mistake. Know both the rules and when they apply. She was neither the best professor nor the worst.","Jan 9th, 2012",CUNY School of Law
1037197,Susan Bryant,Law,EVID111,2.5,3.0,No Grade,3,0,Bryant will incessantly call on the same person every single class. Come prepared to answer any question out of the book she assigns. Just be ready to speak!,"Mar 21st, 2011",CUNY School of Law
1037197,Susan Bryant,Law,FAMIL1,5.0,4.0,No Grade,0,0,Great professor.  She is extremely well prepared and sticks to the game plan for the whole semester.  Very knowledgeable and great at teaching the material. Lots of reading but she gets to it all in class.,"Aug 24th, 2009",CUNY School of Law
1070533,Sarah Valentine,Law,EVID101,1.0,5.0,B-,0,0,"Lots of reading. Rushed through material. Repeats same lie every year to students regarding final exam, ""I wrote the test to be a 2.5 hour exam, you'll have 4.5 hours to complete"". You'll need the full 4.5 hrs. Tests HARD, curves hard; tries to stump students on MC. She's funny.","May 14th, 2022",CUNY School of Law
1070533,Sarah Valentine,Law,CIVPRO1,5.0,3.0,No Grade,0,0,civ pro can be such a dry topic but Prof Valentine made sure each class was taught in an interesting and fun way.,"May 9th, 2022",CUNY School of Law
1070533,Sarah Valentine,Law,LAW709,5.0,4.0,No Grade,0,0,the material is really dry but she makes it engaging and applicable! really enjoyed her class and instruction. kinda intense but in a good way,"Jul 18th, 2020",CUNY School of Law
1070533,Sarah Valentine,Law,RSRCH1,5.0,5.0,B+,0,0,Amazing professor!,"Nov 26th, 2019",CUNY School of Law
