Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
2302995,Emma Tsui,Social Science,CHSS610,3.0,4.0,B,0,0,Professor lectures were engaging and prompted class discussion. Lectures filled with relevant information. Your overall grade depends heavily on the group project. If you have a good group you will excel. If NOT then your grade will suffer. Ensure you align yourself with classmates whom are dedicated to work otherwise it will be detrimental.,"Dec 26th, 2018",CUNY School of Public Health
2302995,Emma Tsui,Social Science,CHSS610,4.0,3.0,B,0,0,Professor Tsui is an inspirational person! I enjoyed her class and learned a lot from the homework/reading assignments. The class discussions during lectures were engaging. I highly recommend taking her. She is approachable (in person & via e-mail) to discuss and help address any issues you may have.,"Aug 30th, 2018",CUNY School of Public Health
2302995,Emma Tsui,Social Science,PUBH813,2.0,3.0,B+,0,0,reads from powerpoint,"Jan 31st, 2018",CUNY School of Public Health
2302995,Emma Tsui,Social Science,PUBH811,5.0,4.0,A-,0,0,"AAAAAmazinggg professor! Emma is such a gem, she's got a great attitude and she's very knowledgeable about the topic, qualitative methods. I love the very thorough feedback she gave on every piece of homework and she's always there if you need her help!","Nov 17th, 2017",CUNY School of Public Health
2385282,Matthew Romo,Health Science,EPID622,5.0,4.0,A-,3,0,Best professor and course taken so far!,"Jun 15th, 2018",CUNY School of Public Health
2398982,Elizabeth Eastwood,Social Work,PUBH610,4.0,4.0,A+,0,0,Not a bad professor. Lots of group work and about 5-6 quizzes. Be prepared to do your work when it comes to papers and the discussion board.,"Apr 9th, 2021",CUNY School of Public Health
2398982,Elizabeth Eastwood,Social Work,PUBH611,2.0,3.0,No Grade,0,0,The Professor is not readily available Her communication style is harsh and short and unclear as to what suggestions or course correction she is asking for. At best she gives one word answers.,"Apr 2nd, 2021",CUNY School of Public Health
2398982,Elizabeth Eastwood,Social Work,HPAM610,4.0,4.0,A-,0,0,"Tough grader. Not many comments left on papers. Assignments are graded in a timely fashion. Mostly good with responding to your emails. The class was like any 610 class that would be in person, since the assignments are similar. Lectures are useful for assignments like discussions. Textbook is a must read to understand the concepts.","Oct 29th, 2018",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM620,1.0,4.0,B,0,0,Avoid if you can.,"May 10th, 2022",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM622,1.0,4.0,No Grade,0,0,"Avoid Haley as a professor or an advisor. It's not that his classes are ""hard"", it's that his grading and feedback are totally ridiculous. It's always his way or the highway, even if he's asking you to do things that are not in the assignment, even contrary. Good luck even knowing what he wants from you.","Jan 26th, 2022",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM620,3.0,4.0,A-,0,0,"Haley cares about class & tries to make it applicable to the work force and current times. That said, his assignments were rough. His instructions were so confusing, despite doing the readings/attending class. He also never actually answered questions I had about them. He did ask for feedback midway and took it to heart, but expect to work HARD","May 26th, 2021",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM620,5.0,4.0,B+,0,0,"Everyone here giving Prof. Haley a bad review hasn't ever been challenged in a course. He's incredibly knowledgeable, cares a lot about students learning, and puts a ton of effort into making his assignments. Yes, there's a lot of reading and yes he expects actual effort. If you're looking to actually learn, take everything he offers.","May 1st, 2021",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM625,1.0,5.0,No Grade,0,0,"If he's ever teaching a course and not just HPAM 625 take it with another professor and save yourself a lot of stress. He seems to be very knowledgeable but his teaching skills are awful! Never clear on assignments and grading. Whatever is taught in class doesn't help with any of the assignments. This class as another student said, WAS A MESS!","Feb 7th, 2021",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM625,1.0,5.0,No Grade,0,0,"Way too much work (hundreds of pages of reading a week, several mandatory lectures outside of class) and grading was extremely harsh and unfair with no clarity on why points were deducted. I spent longer and worked harder than even in Capstone, and still ended up bringing down my GPA. My classmates chose class sections purposefully to avoid him.","Feb 1st, 2021",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM625,1.0,5.0,No Grade,1,0,This man ruined health policy analysis for me. If youre able to take this class at another school and transfer it over to CUNY SPH do so! If you ever see his name for a course run away! I guarantee you youre saving your life and GPA. Hes very unclear with instructions and grading. This class was a whole mess. Do yourself a favor and runaway!!!,"Jan 25th, 2021",CUNY School of Public Health
2415712,Sean Haley,Health Science,HAPM625,1.0,5.0,A,1,0,This guy is a joke. Ruined Health Policy Analysis for me.,"Dec 14th, 2020",CUNY School of Public Health
2415712,Sean Haley,Health Science,HPAM620,4.0,4.0,B,0,3,"Great amount of knowledge. Tough because he wants you to participate and share your ideas. Doesn't grade assignments until the end. Too many assignments-there's one due every week. Make sure to meet with you to discuss papers and projects. He's blunt, funny and shares his experience which was eye opening.","Oct 29th, 2018",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH612,2.0,4.0,B+,0,0,"I recently finished a course and was disappointed with the experience. Contacting the professor was difficult, and most interaction and grading was handled by the TA, who graded harshly with minimal feedback. Only one extra credit opportunity was provided, and I wish there had been more available.","May 21st, 2024",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH612,2.0,3.0,B+,0,0,"The class was not too difficult, but it was very uninspiring. Each lecture was a regurgitation of the textbook. There was very little guidance for the semester-long group project, and the example Prof. Nace gave us for reference had vastly different guidelines. It's also challenging to get a timely response from her, even when asking for feedback.","May 1st, 2024",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH610,4.0,3.0,A,0,0,Professor Nace was a good teacher who set clear expectations for her class.,"Nov 5th, 2021",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH612,3.0,4.0,B+,0,0,"The professor will make you work for your grade. Some of the assignments are very time-consuming. I would suggest starting them at least a week in advance. If you get a B+ or an A or A- then chances are you worked for that grade, and it wasn't just handed to you. MC quizzes are a big part of the class so be prepared to listen to the lectures.","Jul 5th, 2021",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH612,3.0,1.0,Not sure yet,0,0,Very easy grader and the work was manageable. I feel like I learned a lot more in this class than in CHSS624 which I took at the same time and covers similar topics. Lectures are straight from the textbook and I wish a bit more effort had been put into them to be more engaging in the asynchronous sections.,"May 25th, 2021",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH610,5.0,2.0,A+,0,0,"The class is based on 6 quizzes, discussion board participation and a group paper that is split into two sections. She does give one extra credit opportunity as well to boost your grade. Syllabus is clearly written and she is answers emails in a timely manner.","May 18th, 2021",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH612,3.0,3.0,No Grade,0,0,"The lectures are just outlines of the readings, so not very engaging or anything you won't get just from reading. The workload is very manageable, but structure of quizzes was frustrating. There is a pretty generous extra credit assignment though in case you mess up on one or two.","Apr 28th, 2021",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH611,5.0,3.0,A,0,0,Took her class during my 1st semester and she was amazing. Gave clear feedback and grading criteria. had a fun group project that was relevant to the times and lectures/readings were interesting.,"Apr 19th, 2021",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH612,4.0,3.0,Not sure yet,0,0,"For context, this course was taken asynchronously during the Covid pandemic. Just a heads up this course is group intensive. The feedback on the assignments is good which helps. She doesn't give a lot of work but you will need the text for her quizzes. I just wish she gave more extra credit opportunities.","Nov 29th, 2020",CUNY School of Public Health
2539490,Amanda Nace,Health Science,PUBH612,3.0,3.0,A-,0,0,"The class had a lack of guidance for some assignments including group projects. The group projects continue semester long so if you get a bad group you're pretty much SOL. Discussion boards are garbage and there should be less focus on these and more focus on better lectures, note taking, and small assignments. Extra credit is available.","Jan 6th, 2020",CUNY School of Public Health
