Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1157205,C Burke,Ethnic Studies,ANTH101,5.0,3.0,A,0,0,I took Professor Burke as an online Fall course at CUNY SPS (2020) and I highly recommend her! Her discussion boards are engaging and I truly learned so much. If you do the reading and give thoughtful responses I don't see how you would not receive an A. Her materials are well thought out and organized. She is a very fair grader. Take her class!!!,"Dec 12th, 2020",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFRS101,5.0,2.0,A,0,0,Professor is great. Very clear on what she is asking for and very helpful. I really enjoyed her class.,"Jan 6th, 2014",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFR101,5.0,2.0,No Grade,0,0,I really had no desire to take this class but it was actually really interesting. She is very involved and very clear on her expectations.,"Jan 28th, 2012",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFR101,5.0,1.0,No Grade,0,0,"Very interesting class, Prof Burke was very knowledgeable and provided feedback and participated in discussions with the class, you will use all three books req, a lot of outside reading as well. Participate actively and in a timely fashion and you should do fine.","Dec 22nd, 2011",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFRS101,5.0,3.0,No Grade,0,0,Great teacher - learned a lot and had fun doing so.,"Jul 27th, 2011",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFRS101,5.0,5.0,No Grade,0,0,"There many reading assignments for this class, but they are very interesting.  She helps guide the discussion on blackboard with great questions and some comments.  I wish she taught more classes.","Feb 15th, 2011",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFRS101,4.5,2.0,No Grade,0,0,"My first online class and required a lot of reading.  The work looks easy but requires you to engage with other students so the material is absorbed via participation.  If you want to know and understand the course material, this is a great professor.  Be prepared to read a lot.","Aug 11th, 2010",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,ETHN101,4.0,3.0,No Grade,0,0,"A lot of material to cover, but very interesting class... awakens the mind to global conditions - cultural, political, and ethical. My undisciplined start turned  from procrastinator to committed student, after receiving the professor's mid-term email warning of my academic risk - a needed rude awakening! I turned my mid-semester D- into a B-!","Jan 7th, 2010",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFRS101,5.0,1.0,No Grade,0,0,"She's an awesome professor. She gives a lot of work but its easy and very interesting that you don't realize it. You have to buy 6 books though. They are very cheap, $15 or $20 maximum. I took the class in the summer and I got an A. I highly recommend her!","Aug 23rd, 2009",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFRS101,2.5,4.0,No Grade,0,0,"Honestly, I don't know what the person above me is talking about. She picks favorites. Her summer course was 10 weeks & she tried to fit 14 weeks of work in  which was a mess. She has an attitude (yes, I felt it though the internet). It's a 101 course with tons of work, and a BS project at the end. THINK TWICE BEFORE TAKING HER.","Aug 13th, 2008",CUNY School of Professional Studies
1157205,C Burke,Ethnic Studies,AFRS101,5.0,4.0,No Grade,0,0,"Prof. Burke was one of my first professors with the program, and she was interesting, challenging and caring.  She made us read and think about what we learning and not just complete assignments for protocol.  She engaged us in thought-provoking dialogue that opened our eyes to current events.  I wish there were more profs. like her!!","Jul 24th, 2008",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHILOS0PHY301,2.5,4.0,No Grade,0,0,A confusing mishmash of relatively dated online texts combined with a high workload without much reward for said workload. I'd avoid if possible.,"Dec 18th, 2014",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHIL301,5.0,4.0,No Grade,0,0,I like this class. It helps me build critical thinking. I learned ethical issues and moral methods under information age.,"May 27th, 2013",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHIL301,5.0,1.0,No Grade,0,0,"Very interesting course!  This professor designs his course for people to be successful.  It isn't the type of course where you need to memorize facts and figures.  You just need to read the material and absorb it into your own experience.  Then, you write your arguments accordingly.  It's brilliant really.","Sep 18th, 2012",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,SSFNET,4.5,2.0,No Grade,0,0,"Professor Pecorino he is a very clear and understanding professor. If you do his work you will pass, If you don't then you will not, There is a lot of work but its very easy. He is not a hard graded. You will be fine if you take his class.","May 31st, 2011",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHIL301,2.0,3.0,No Grade,1,0,The course was a confused mix between learning about technology and and learning about ethics. A lot of the class discussion did not focus on technology and the professor did not get involved much to direct conversation otherwise.I was excited to take the course but after the first week I realized my expectations were not going to be met. Good Luck,"Dec 23rd, 2010",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHIL301,5.0,4.0,No Grade,0,0,Great professor and very valuable class. The beginning of the class is daunting but it quickly gets better. There is a lot of work and reading from a free (yay!) online text book but the professor is very reasonable.,"Dec 23rd, 2010",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHIL301,3.0,4.0,No Grade,1,0,Took this class online.This class could of been better but you have to devote over 9 hours a week between readings and writings and disccusion boards. Prof. is harldy ever apart of discussions unless you aren't doing things his way. Learned alot through other students. Did not like the class. Good thing online text book is free.,"May 28th, 2010",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHILPHIL,3.5,4.0,No Grade,0,0,Great class to take.,"Dec 28th, 2009",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHI301,3.5,4.0,No Grade,0,0,"B- is what I'd grade the Professor; C- is what I received.  I had a late start and didn't get involved until mid-semester; therefore, I am happy to have passed at all.  It was a challenging class, but I learned a great deal and have no regrets - the class has re-awakened some brain activity.","Dec 28th, 2009",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHI301,1.5,5.0,No Grade,0,0,I wanted the professor to let us know how we have been doing so far by providing our grades for each weekly assignment. We got the midterm evaluation but we got all of remaining evaluation at the end of semester in once but it is too late to revise or improve then.,"Dec 25th, 2009",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHIL301,3.0,3.0,No Grade,1,0,Very little involvement... Sometimes I wondered if he is even reading DB. Very slow to grade work.,"Dec 24th, 2009",CUNY School of Professional Studies
1157206,P Pecorino,Philosophy,PHIL301,2.0,4.0,No Grade,0,0,"Maybe, I missed something but I hate the course. Unless you do not work or are part-time, who haves time to dedicate nine hours per week to once class? Where is the flexibility. Better off in a real class. Online textbook, typos and too many links. PS. He's rude when he wants to be. Most CUNY Online Professors are.","Feb 23rd, 2009",CUNY School of Professional Studies
