Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1986404,Geraldo Vasquez,Business,ACCT12101S,5.0,3.0,A+,0,0,Professor Vasquez always gave us a good amount of feedback. Many students say his feedback is harsh but it's constructive criticism which helped many of us do great in the course. He found extra time within his day just to help me with many of my projects. Definitely a great professor!,"Apr 25th, 2017",Guttman Community College
1986404,Geraldo Vasquez,Business,BUIS101,5.0,3.0,B,0,0,He's a really cool guy with a sense of humor. Even his 2 hour lectures are entertaining.,"Jul 15th, 2016",Guttman Community College
1986404,Geraldo Vasquez,Business,ACCT12101S,2.5,5.0,No Grade,0,0,He is very sarcastic and does not provide much feedback about how your doing in his class or on specific assignment. He does not take things seriously at all so if you want to have a serious conversation with him good luck. He teaches as if your already suppose to know the material. Hated both classes that I have had with him so far.,"Feb 22nd, 2015",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,2.0,3.0,A-,0,0,"He talks soooooooooooooooooooooo much yap yap yap yap yap. He is a bit self centered and talks plenty about his travels and job. Good at teaching, I'll give him that.","Mar 5th, 2024",Guttman Community College
1989831,Valdon Battice,Literature,ENGL103,5.0,2.0,No Grade,0,0,Super cool teacher but when it comes to online classes with Battice don't expect to have your grades posted on blackboard right away,"Feb 10th, 2022",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,5.0,2.0,No Grade,0,0,"Funny, fair, easy to talk to about anything and motivates you to be your best. Makes class go by quick :)","Mar 2nd, 2020",Guttman Community College
1989831,Valdon Battice,Literature,ENG201,5.0,3.0,B+,0,0,great prof.,"Sep 4th, 2019",Guttman Community College
1989831,Valdon Battice,Literature,ENGL103,5.0,2.0,A-,0,0,The course is engaging and research papers that students need help with English proficiency.,"Jan 8th, 2019",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,5.0,3.0,No Grade,0,0,"Lovely, very fond of him still.","Jul 2nd, 2018",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,5.0,2.0,B+,0,0,He's very involved in his lectures. I appreciated art more than ever after taking his class. Really an experience.,"May 21st, 2018",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,2.0,4.0,B-,0,0,"TBH he talks about himself way too much, good professor nontheless","Mar 5th, 2018",Guttman Community College
1989831,Valdon Battice,Literature,ENGL203,4.0,2.0,B+,1,0,He is so into what he says and inspirational. I can listen to this man talk for days. You can feel his passion.,"Sep 13th, 2017",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,5.0,2.0,B+,0,0,"The man can talk! But he is super sweet, very chill and interesting guy with a love for all that is art! Probably one of the most interesting professors i've ever had!","Aug 11th, 2017",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,4.0,2.0,No Grade,0,0,"Professor Battice is one of the few interesting souls you could find in Guttman. Hilarious, However, has a bad habit of speaking a lot during lectures. Of course that is his job but man does this man talk a lot haha. None of the less, great professor to have; full of knowledge but just prepare yourself with a good nights rest to sit through class.","Aug 11th, 2017",Guttman Community College
1989831,Valdon Battice,Literature,LASC200,5.0,3.0,B+,1,1,Amazing professor ! Would love to have him again!!!,"Aug 6th, 2015",Guttman Community College
1996136,Ephraim Rinsky,Mathematics,MATH103B,3.5,2.0,No Grade,0,1,"Rinsky is a very chill professor he always advocated for the students, Sometimes gave realistic advice on how to apply Stats to the real world. Always used the mystats lab text book. Will dearly be missed.","Jun 11th, 2015",Guttman Community College
1996136,Ephraim Rinsky,Mathematics,RINKSY0847,4.0,3.0,A+,0,2,He is a funny professor and knows how to make the class interesting,"Apr 17th, 2015",Guttman Community College
1996136,Ephraim Rinsky,Mathematics,MATH103B08,4.5,1.0,A,0,1,"Great statitic professor, I hate math so take my word for it. The professor is great when it comes to explaining. He explains step by step and is clear with the lessons. Pay attention carefully and you would get it.","Apr 4th, 2015",Guttman Community College
1996136,Ephraim Rinsky,Mathematics,MATH103B08,4.5,1.0,A,0,1,"Great statitic professor, I hate math so take my word for it. The professor is great when it comes to explaining. He explains step by step and is clear with the lessons.","Apr 4th, 2015",Guttman Community College
1996136,Ephraim Rinsky,Mathematics,ECONOMICS,3.0,2.0,No Grade,1,0,Funny,"Apr 1st, 2015",Guttman Community College
1996136,Ephraim Rinsky,Mathematics,103B,4.0,1.0,No Grade,0,1,Was a great teacher to have. Explained the work fairly well and with clarity. Expect to buy a textbook for this course and it is used a lot. Tests and quizzes are really easy to pass as long as you pay attention. Goes off topic sometimes with jokes.,"Apr 1st, 2015",Guttman Community College
1996136,Ephraim Rinsky,Mathematics,MATH103B,4.0,1.0,A+,0,0,Had a good time in his class. The work was easy and the explanations were easy to understand. Not much homework and quizzes tend to be straight forward and easy. Very reliant on textbook use and you need to get one in order to understand what is going on in the class.,"Mar 31st, 2015",Guttman Community College
