Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1000989,Uche Ezeadichie,History,HIS200,5.0,2.0,A+,0,0,"Professor Uche is a great professor. All you have to do is show up, participate in the class, and submit your assignments. The class is easy and he is a chill guy and will provide any feedback if you have any questions. I'm personally not a fan of history but this his class was worth it.","Jan 8th, 2025",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,1.0,A,0,0,"Professor Uche was phenomenal. The assignments, quizzes and test were easy if you pay attention and listen to the lectures. His was of teaching is amazing you will not get bored. Thank you Professor for an amazing Fall semester. I highly recommend Professor Uche.","Jan 9th, 2024",Medgar Evers College
1000989,Uche Ezeadichie,History,SSC-101,5.0,1.0,A+,0,0,"Super easy course. Make sure you are completing all assignments, and its an easy A. Textbook is needed however I think I couldve done the course without it. His grading is clear, and to the point.","Dec 14th, 2023",Medgar Evers College
1000989,Uche Ezeadichie,History,SSC-101,5.0,2.0,A+,0,0,"Professor Uche, was an amazing professor. His teaching style was amazing, he made sure that we understood the assignment. His work is so easy. If you need help with anything he is more than welcome to help you. I would recommend everyone take this Professor. He is great! Professor Uche you rock! Wish I could take him again.","Aug 26th, 2023",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,4.0,A+,0,0,"Professor U, designs the course and classwork for the success of every student. His knowledge of history is vast and he is passionate in his desire to see everyone of his students become professors themselves. His slides are comprehensive and include everything you'll need to pass his tests. Do your part, and you'll do well.","Oct 22nd, 2021",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,3.0,A+,0,0,"Attendance is very imortant, he actually teaches in his lectures and you learn. He is very easygoing but not a pushover. Please dont try to cheat lol. Ive seen it and its not a good idea, he makes the class understandable and is clear in his grading. Hes great.","May 7th, 2021",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,A,0,0,"Professor Ezeadichie understands what it takes to TEACH. It's not just about repeating information from a textbook, it's about understanding AND making sure the students understand. Ezeadichie, you the man.","Oct 28th, 2019",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,1.0,A+,0,0,Great professor. Do the work and you'll pass. Be prepared to talk in class.,"Jan 28th, 2019",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,Not sure yet,1,0,By far the best professor I have ever took. He sums up eveything you need to learn and his lectures are very interesting. Hes very kind and passionate about what he does. He teaches u exactly whats going to be on the test which is why he let us out reallyyy early. Participation matters so raise your hand once and you have your Credit for that day,"Dec 7th, 2018",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,4.0,A,0,0,Hes definitely one of the good professors here. Theres weekly readings and response questions and we watched some videos on the library. Exams we did good review before and he was organized thank goodness. Im taking him for anthropology next.,"Nov 5th, 2018",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,2.0,A,0,0,absolutely great professor. come to class and do what he says and youll pass. also I recommend him incase you have to take his class only once a week. my set time was from 6:15-9 he lets us out at 7:30. he rocks,"Jan 23rd, 2018",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,2.0,A,2,0,"This is hands down the best Professor I've ever had. His way of teaching is easy and he gives great reviews before each exam. Exams are True or False. He gives extra for class participation, he explains the material perfectly, he doesn't sweat the small stuff and he only teaches you exactly what's on the exam. Do yourself a favor and take him.","Jan 23rd, 2018",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,A,3,1,when i say amazingggg.. he teaches you everything you need to know for his midterms and final; he's simply the best and you definitely will not regret taking his class.,"Dec 31st, 2017",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,3.0,A,2,0,"Prof. Uche is the most sweetest ,respected,amazing professor they have in this college. I thought it would of been boring but he makes you understand literally everything. His personality is so amazing. Text book is required for his questions he give on chapters and he does videos. But honestly, I wish he teaches every subject because he so nice!","Dec 24th, 2017",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS101,5.0,2.0,A,0,1,Great gpa booster plus hes not boring. Take his three hour class if you can because you get less hw and he lets you out early compared to a class that meets twice a week.,"May 18th, 2017",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,A-,2,0,One of my fav professors! His class is so entertaining and hes a really easy going person. There are weekly assignment he will give you which is based on a textbook and its sooooo easy! TAKE HIMMMMMMMMMMM!!!!!!,"Jan 5th, 2017",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,2.0,A,1,0,"Absolutely amazing professor. You need the textbook and you have to do the weekly readings and produce the weekly homework which is usually 2-3 questions about the reading. All exams are multiple choice and true/false. Pretty simple if you do the work. Even though I find History very boring, he never was. Class participation is a definite must!","Jan 2nd, 2017",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,A-,0,0,Professor Uche is by far the best History lecturer I have ever had. He assigns easy homework with 3 questions every week. His lectures are so interesting and he is funny. He gives a midterm and a final. Take him and you will be forever grateful!,"Dec 26th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,A,2,0,History is boring but this guy is so funny he makes it so easy and the work is kindergarten work! He assigns 3 questions every week and you print them and hand them in its so easy. At first he will call on u for participation credit but later on stops. Take his 3 hour class he lets u out in an hour and a half. You dont need the book just google it,"Dec 14th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,No Grade,0,0,"He's great ! very funny, and gets to the point. if i had an opportunity, i would definitely take his class again. he's awesome.","Dec 9th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,3.0,No Grade,1,0,AMAZING AMAZING AMAZING... This professor is very Fun and teaches you a lot. He makes sure EACH of his students understand the material. He is very straight forward so his exams and homework are VERY fair.  Excellent Professor!!,"Nov 28th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,4.0,A,0,0,He's a great professor. He does give lots of reading and homework but he does take the time to go over every homework assignment and he does supply you with the notes necessary to study. His discussion of the material makes the class is interesting,"Nov 19th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,2.0,No Grade,3,0,At first he seems very strict but as you go on hes really funny and nice. He gives you easy questions for homework and usually wants you to say something per class (sometimes he wont call on people). He is not boring at all. I took his 3 hour class and he let people out in an hour and a half. One pf the best professors I have ever had. Good teacher,"Nov 6th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,2.0,A,3,0,"Say something once per class and you got your participation credit (don't worry his questions are easy and straightforward). His homework is so easy and he is very funny his class is not boring at all. If you can, TAKE HIS 3 HOUR CLASS! Less work compared to twice a week and he lets you out one hour early. Hes great at teaching. AWESOME GUY!","Oct 6th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,4.0,3.0,No Grade,1,3,He is all about participation. When you participate once in class he will take your name and give you your participation credit. Homework is pretty easy and the textbooks aren't needed even though he makes you buy them. He is pretty funny and nice. Strict grading policy though. He collects homework. Participate once per class and give in hw timely.,"Sep 5th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,ANT101,5.0,3.0,B+,4,0,You will read a lot. He uses powerpoints and emails them. His midterm and final are not very hard. He is pretty funny. I loved when he laughed at his own jokes. His accent can be a little hard to understand. Good man. Decent class.,"Aug 2nd, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,4.0,3.0,C,1,0,Was able to understand with his accent. He uses power points which he emails to students.  Hw every week based on chapter usual 3-5 questions. On he's test his multiple choice is a-e and his finals has more short answer.,"Aug 1st, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,4.5,2.0,A,2,0,"The best professor I've ever had in all my years of college. Very helpful and engaging; allows you to obtain a great understanding of history. If you complete the homework assignments on time, (which are only 2-3 questions per class), study for his midterm and final which come straight from the notes he gives you it is an easy A.  Also very funny!","Jan 6th, 2016",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST201,4.0,2.0,A,1,0,"He grades according to your effort on the work, and somehow he'll know that your forged or copied. Each class he'll ask you question about the homework you did due that day and you'd have to explain why you gave the answer. The tests aren't bad, you'd have to memorize some maps as a part of his tests. Very punctual and serious but not terrible","Dec 3rd, 2015",Medgar Evers College
1000989,Uche Ezeadichie,History,100,4.0,2.0,B,0,0,Had a blast last fall taking his class. He get straight to the point. Sticks to the syllabus and tests are based on what we have covered in class.,"Jan 26th, 2015",Medgar Evers College
1000989,Uche Ezeadichie,History,HIS200,5.0,2.0,A+,2,0,"AMAZING,  WISH HE WAS MY PROF FOR EVERY CLASS !!","Jan 1st, 2015",Medgar Evers College
1000989,Uche Ezeadichie,History,ANT,3.0,3.0,No Grade,1,0,"I took him for anthropology this semester at CCC and his class was very confusing to me. He wanted us to read chapters before we learned about them and graded us hard on them. His mid term and final exam were nothing like his reviews and he does not answer emails. He isn't a bad professor, but he could improve.","Dec 23rd, 2014",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST101,5.0,1.0,No Grade,0,1,Dr. U is a great professor. Knows his work/history.  Must attend every class. Must do homework and participate in class.  Every homework must be typed & 1 page. Gives you enough time to study for your midterm & final. Reviews midterm & final.,"Jun 1st, 2014",Medgar Evers College
1000989,Uche Ezeadichie,History,HISTORY101,5.0,1.0,A,1,0,Best history teacher hands down! As everyone stated before he makes it the so easy.,"Jan 8th, 2014",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST101,5.0,1.0,No Grade,0,0,"Great professor. Attend class, do your homework, participate in class discussions and you will be fine.","Dec 30th, 2013",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST101,4.5,1.0,No Grade,0,0,One of the best. Very great professor who has good knowledge of what he teaches. Focus on what he teaches and you'll get that 'A'.  Don't get 'the F'....as he says....lol,"Jul 5th, 2013",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST101HIST200,4.5,1.0,No Grade,0,0,This professor is the BEST hands down! I took him for 101 and 200 and he is so easy and helpful... All you have to do is come to class answer the hw questions in class .. He clarity's the midterm and final he gives you everything you need to know to pass. He's funny and cool. If you want to get a good grade and be stress free take professor E!,"May 26th, 2013",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST191,5.0,1.0,No Grade,0,0,"One of the BEST.  You will never regret taking his class.  Look at the other reviews and you'll see.  It's impossible not to like him.  If you don't it's because you have a problem. Try him and you won't regret....easy ""A"" if you do your homework.","May 18th, 2013",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,1.0,No Grade,1,1,"TAKE HIS CLASS! Class met once a week with a short paper due (2-4 questions)which he used to start the class discussion. He gave a midterm and a final both were easy cause it's the same questions he asked during the semester no surprises. He is super understanding and straight forward! You would only fail if you don't go to class, ever!","May 9th, 2013",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,1.0,No Grade,1,0,"Professor`s name says it cleary ""Eze does it"" if yor are not interested in history find another class.","Jan 2nd, 2013",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST101,5.0,1.0,No Grade,1,0,Very helpful and teaches very well .. Excellent professor !,"Nov 8th, 2012",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST010,4.5,1.0,No Grade,1,0,He is a EXCELLENTprofessor. He gives 4 or 5 questions and u answer them from the book and he goes over them thoroughly in class. He respects your opinions participation is a must. He spoon feeds u the midterm and final. All u got to do is your homework come to class and you pass . I would definitely recommend you take him,"Nov 8th, 2012",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST101,5.0,3.0,No Grade,1,0,great class he is an excellent professor,"Aug 27th, 2012",Medgar Evers College
1000989,Uche Ezeadichie,History,HIST200,5.0,2.0,No Grade,1,0,"Very hard to fail this course. He spoon feeds the information.And your opinion is very crucial in his class, so express it!","May 3rd, 2012",Medgar Evers College
