Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1000734,Devid Paolini,Italian,V0300,3,5,B+,0,0,"He is not clear enough mostly in the assignments. His explanations of how to do the assignments are very vague, or incomplete and you will pay the price for it.","Dec 20th, 2019",City College of New York
1000734,Devid Paolini,Italian,ITA31121,5,3,No Grade,0,1,"He is the best!  Funny and friendly, but you have to go to class, pay attention, participate, do your homework!","Jul 5th, 2017",City College of New York
1000734,Devid Paolini,Italian,ITA287,4.5,3,A,1,0,"Professor Paolini is a great guy, really funny, loves teaching, and would make anyone want to continue learning Italian-- never a dull moment. Read his syllabus because he goes by it, show up to class and take notes, do his assignments ON TIME, and study the notes from lecture; you can't fail.","Dec 20th, 2015",City College of New York
1000734,Devid Paolini,Italian,ITALI351,5,3,No Grade,0,0,He is the best...explains everything in detail and wants you to succeed....highly recommend him...,"Dec 24th, 2012",City College of New York
1000734,Devid Paolini,Italian,ITA121,5,4,No Grade,2,0,"He's Awesome!!! He Made Me Love The Launguage even More. Hes Funny, cool and can be mean in a funny way. Doesnt like people coming late much. But he is understanding, but hes not easy to fool! TRUST THAT! and for us spanish speakers; he grades harder concerning spelling lol! TAKE HIM YOU WONT REGRET IT!","May 30th, 2012",City College of New York
1000734,Devid Paolini,Italian,ITA422,5,2,No Grade,3,0,Divine Comedy course...amazing prof...definitely worth the time and efforts...learned a lot...,"May 29th, 2012",City College of New York
1000734,Devid Paolini,Italian,ITLG,5,2,No Grade,0,0,"In you city college life, you will encounter amazing professors like Michio Kaku, Robert Melara, and Prof. Paolini definitely belongs amongst these ranks for his amazing sense of humor. You will have a lot of fun in his class but learn a lot as well. He always provides extra credit opportunities in his exams,so just do your hw and dont be late!!","May 16th, 2012",City College of New York
1000734,Devid Paolini,Italian,ITA121,5,1,No Grade,0,0,Best professor at city.made me love the language even more. very interesting. do hw practice with co-eds and participate in class even if you cant pronunciate a word he will help and you will definitely pass and learn alot too.,"Feb 7th, 2012",City College of New York
1000734,Devid Paolini,Italian,ITAL121,5,1,No Grade,0,0,"AMAZING! I love him!! Super easy class, its true he only speaks in italian, but you can understand the man. and he makes sure you learn italian!","Jan 3rd, 2012",City College of New York
1000734,Devid Paolini,Italian,ITAL316,4,4,No Grade,0,1,Expects you to know everything from top to bottom didn't really explain the material just expected you to know it automatically however he speaks crystal clear Italian.,"Jan 4th, 2011",City College of New York
1000734,Devid Paolini,Italian,ITALA,5,1,No Grade,0,0,"speaks very clearly, easy to understand. he is also very helpful and picks interesting topics and material.","Apr 21st, 2010",City College of New York
1000734,Devid Paolini,Italian,ITAL121,5,1,No Grade,0,0,"Loved professor Paolini. Beautiful person, very helpful, super handsome and enjoys teaching! Take him he's THE BEST!!!!!!!!","Apr 20th, 2010",City College of New York
1000734,Devid Paolini,Italian,ITAB,5,3,No Grade,0,0,"Best professor at city college, it looks like he truly enjoys his job. He is very interesting and funny and the things you learn in his class are likely to stick with you even after the class has ended. TAKE HIS CLASS!","Apr 15th, 2010",City College of New York
1000734,Devid Paolini,Italian,ITA125,5,2,No Grade,0,0,the best professor ive had at city college. he's funny and makes class interesting. he speaks very clearly and speaks solely in italian.,"Feb 4th, 2010",City College of New York
1000734,Devid Paolini,Italian,ITAL121,5,1,No Grade,0,0,"He's very helpful and crystal clear. He gives a quiz prior to the exam which is helpful, gives a list of what to expect on exams including the final, very funny and he makes the class interesting and enjoyable. Dont be late! He will put u on the spot! Just pay attention, show interest and study and you'll do great. I highly recommend him!","Dec 20th, 2009",City College of New York
1000734,Devid Paolini,Italian,ITALI1003,4,1,No Grade,0,0,"I think he is one of the best PROF. i EVER MET IN CITY COLLEGE. HE IS PATIENT AND CONSIDERATE.HIS CLASS IS PRETTY EASY ANDEVEN IF U DON'T STUDY BUT PAY ATTENTION IN CLASS, TRUST ME, AT LEAST YOU CAN GET A B","Nov 16th, 2009",City College of New York
1000734,Devid Paolini,Italian,ITAL121,5,1,No Grade,0,0,An amazing teacher and VERY cute! Very helpful anyone would be lucky to have him! :),"Nov 14th, 2009",City College of New York
1000734,Devid Paolini,Italian,IT522,4.5,2,No Grade,0,0,Loved him. Cute and funny and patient.,"Apr 13th, 2008",City College of New York
1000734,Devid Paolini,Italian,ITAL225,4,2,No Grade,0,0,Good to look at and funny. He is an intresting teacher. show him you are dedicated and it will reflect in his grade. Very easy going personality.,"Jan 24th, 2008",City College of New York
1000734,Devid Paolini,Italian,ITAL122,5,1,No Grade,0,0,Great Professor. Extremely funny. Wish all my professors were like him.,"Dec 20th, 2007",City College of New York
1000734,Devid Paolini,Italian,ITALS,5,2,No Grade,0,0,great professor!,"Dec 18th, 2007",City College of New York
1001591,Stefan Weisman,Music,MUSIC101,4.5,2,No Grade,0,0,hes a really great professor but dnt take his morning klass smhhh omg he will put yu to sleep!!!...lolzz i would sit in class and his voice puts yu to sleep...then that music he plays makes me sleep even more!!! smhhh lol hes a GREAT professor tho,"Oct 17th, 2009",City College of New York
1001591,Stefan Weisman,Music,MUSIC101,4,1,No Grade,0,0,pretty good tunes he plays,"Oct 14th, 2009",City College of New York
1001591,Stefan Weisman,Music,HISTMUSI,5,4,No Grade,0,0,No Comments,"May 22nd, 2009",City College of New York
1001591,Stefan Weisman,Music,MUS242,5,1,No Grade,0,0,"He is definitely the best Music History Professor. He is very clear knowledgeable, and organized. He is also very friendly. It was an easy A.","Jun 5th, 2008",City College of New York
1001591,Stefan Weisman,Music,MUSIC6005,4,4,No Grade,0,0,"I attended History of the Symphony and History of Baroque to Early Classical Music with this professor.  I found Professor Weisman to be very knowledgeable, interesting, intelligent, professional, kind, and approachable. He is also an active composer in New York.  I highly recommend his classes.","Jun 14th, 2007",City College of New York
1002596,"Yousef, Abdelmalek",Electrical Engineering,EE421,5,2,No Grade,0,0,"He is great professor, very helpful, knows what he is teaching pretty well and will help u understand. U WILL SURELY LOVE OPNET with him. Note the class get filled quick","Dec 24th, 2010",City College of New York
