Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1000126,Christina Taharally,Education,EDUC101,1,2,No Grade,0,0,She is very uptight and has a sense of eliteness/,"Nov 6th, 2009",Hunter College
1000126,Christina Taharally,Education,CURR720,5,2,No Grade,0,0,The Best,"Aug 26th, 2007",Hunter College
1000128,Liege Motta,Education,LIT01,3.5,4,No Grade,0,0,She gives a lot of work. She is vague with what she wants on assignments. Really makes you reflect a lot on readings and has weekly reflection assignments.,"Mar 10th, 2012",Hunter College
1000128,Liege Motta,Education,ECE102,2.5,3,No Grade,0,0,"double sided is what she is. can totally be sweet and charming with you but when it comes to grading she is no fair at all. i put all my work in on time and she failed me, when plenty of students do not bother to come or always enters late she seems to be totally fine with it and passes them.make sure to question her when takeing this class!","May 11th, 2010",Hunter College
1000128,Liege Motta,Education,ECC703,3.5,1,No Grade,0,0,"You are lucky if Prof. Motta is your teacher, because she is very understanding, and very nice. She is broad and vague. She is a free spirit... so be creative in your work, and she will appreciate it!","Sep 4th, 2007",Hunter College
100048,Alexandra M. Lewis,Music,MUS1113,1,3,A,0,0,This professor seems to have her own definite concept on 'how musicians should be; what musicians are.' She often makes commentaries on students' musical types and artistries with vague explanation (which makes it seem as a personal opinion; preference) and I had 2 students in the same semester left her class because of her disrespectful attitude.,"Oct 29th, 2018",Hunter College
100048,Alexandra M. Lewis,Music,MUS1113,5,1,No Grade,1,0,"easy A+ oh my fking god, strongly recommanded, take her asap,you wont have anpther chance!","Dec 16th, 2012",Hunter College
100048,Alexandra M. Lewis,Music,MUSHL101,2,4,No Grade,0,2,two words: avoid her!              No but seriously your GPA will drop,"May 4th, 2007",Hunter College
100048,Alexandra M. Lewis,Music,MUSIC,4,2,No Grade,0,0,"Simple: don't come in late, dont have your cell phone on, don't drink in class, don't talk in class, read the book and listen to the music.  Easy A. HAHA...who cares? she's hot!","Dec 12th, 2005",Hunter College
100048,Alexandra M. Lewis,Music,MUS101,3.5,4,No Grade,0,0,"she boring, she treats everyone like high school students. her tests are not that bad if u list to the music and read the book. there's no cumulative final but there's a paper which it includes 3 musical events","Nov 30th, 2005",Hunter College
100048,Alexandra M. Lewis,Music,MUSHL101,3,4,No Grade,0,0,Too much work is expected for this class and she bores me,"May 30th, 2005",Hunter College
100048,Alexandra M. Lewis,Music,MUSHL101,3,3,No Grade,0,0,The worst problem I had with this professor is her attitude toward the class.  She treated us like children (and half the class looked over 30).  There was no reason for her to do that.  It made a possibly interesting class horrible to deal with.,"Mar 12th, 2005",Hunter College
100048,Alexandra M. Lewis,Music,MUSIC101,1,4,No Grade,0,0,I was looking forward to this class when I first got into it...that all changed after the first week in class...she gave out a course plan and didnt follow it at all..her quizes were not only extremly hard..the wording was often really confusing leaving most students with bad grades..not recommended,"Jan 18th, 2005",Hunter College
100048,Alexandra M. Lewis,Music,MUSHL101,2,4,No Grade,0,0,"i dont know what the other raters are talking about, she is one of the hardest professors i have had! and that is supposed to be an easy ""a"" she said. I would not recommend her!","Dec 2nd, 2004",Hunter College
100048,Alexandra M. Lewis,Music,MUSHL101,2.5,3,Not_Sure_Yet,0,0,"BORING! She treated my class like a High School music course, assigning seats, and giving us a lecture about how we should act in class . . . please. She didn't give a full comprehensive reviews for the quizes, which I thought was unfair. Of all the music teachers I've had, she has to be the WORST!","Nov 20th, 2004",Hunter College
100048,Alexandra M. Lewis,Music,MUSHL101,5,1,No Grade,0,0,"A really nice woman and an interesting, easy course. It was a nice change from the typical lecture. She has the ability to open up new types of music to students through her sheer passion for the topic.","Jun 21st, 2004",Hunter College
100048,Alexandra M. Lewis,Music,MUSHL100,5,3,No Grade,0,0,"She seems very strict at first, but she's very passionate about what she teaches and clarifies everything very well.  If you pay attention in class, take notes on what she says, and read the assigned texts, then you'll do good. Overall, good professor.","May 8th, 2004",Hunter College
100048,Alexandra M. Lewis,Music,MUSIC101,5,2,No Grade,0,0,"Professor was very clear and gave easy quizzes.  Everything covered in the lecture were on the exams.  Extremely easy final, just study the notes.","Feb 2nd, 2004",Hunter College
