Professor ID,Professor Name,Department,Course,Quality,Difficulty,Grade,Thumbs Up,Thumbs Down,Comment,Date,College
1001799,Melaka Solomon,Biology,BIO182,3,2,No Grade,0,0,"She isn't a hard professor at all, she teaches off slides will give HW and extra credit. Her tests are very hard and. Her flaw is that she takes long to grade everything, and it will take her long to post final grades. In my case when If I do my work I want my grade right away. does not give students enough feedback.","Jun 7th, 2011",Lehman College
1001799,Melaka Solomon,Biology,BIO181,2,3,No Grade,0,0,"He lab class isnt hard but do all the labs, free grades. The lecture is bring, she is a bit bipolar. She gets upset randomly. She only reads from the powerpoint, nothing else. S only study the powepoint. She says a lot of things are going to be on the test but they dont show up. dont focus on studing hard concepts, she doesnt test on them often.","Jan 26th, 2011",Lehman College
1001799,Melaka Solomon,Biology,BIO181,4.5,2,No Grade,0,0,"She comes off a little rough at first, but once you realize that the material she's teaching isn't really that difficult you'll understand. She's an easy professor to get along with and she's understanding.  She gives extra credit and her tests are EASY as long as you review the material 2-3 days before. Good luck in her class! (that's not sarcasm)","Dec 18th, 2010",Lehman College
1001799,Melaka Solomon,Biology,BIO182,4,4,No Grade,0,0,"Her classes involve a lot of power point slides directly from the publisher.  She requires a lot of detail with her essay assignments and be prepared to explain the ""whys"" and not just answering the questions, no wiley plus HW assignments, so expect to do a lot of independant research to complete very detailed assignments.","Sep 27th, 2010",Lehman College
1001799,Melaka Solomon,Biology,BIO181,2,3,No Grade,0,0,"Likes to tell stories.  By the book.  Will give extra credit projects, if asked.","Oct 15th, 2009",Lehman College
1001799,Melaka Solomon,Biology,BIO181,4.5,1,No Grade,0,0,She is not tough thou. All you have to learn is by yourself.She is a good teacher.I like her class.,"Jan 24th, 2009",Lehman College
1001799,Melaka Solomon,Biology,BIO181,4,1,No Grade,0,0,She is a good teacher and first of all this class is about learning by yourself. I had good times in this class .She is a good teacher and a good grader. She is not tough.,"Jan 24th, 2009",Lehman College
1001799,Melaka Solomon,Biology,BIO181,5,4,No Grade,0,0,Solomon is a great professor.  She is always available to students who ask for help and gives notes.  She tries her best to make a difficult subject more managable.  The problem is that students want her to spoonfeed them the information.  You must study hard and prepare to devote hours of study time to pass the course. Reading is a must.,"Nov 25th, 2008",Lehman College
1001799,Melaka Solomon,Biology,BIO181,2,3,No Grade,0,0,I thought I would actually learn something but she only reads her PowerPoint presentation and doesn't elaborate. Attending this class was a waste of my time I could have stayed home and let Wiley teach me. The test review is also useless study everything.,"Nov 14th, 2008",Lehman College
1001799,Melaka Solomon,Biology,BIOSEC5,4.5,3,No Grade,0,0,i took her for a Saturday class for anatomy and physiology and she doesn't go beyond her slides. she runs through them and your left to read the chapters..she doesn't bring you into the lesson..doesn't make it interesting...,"Oct 2nd, 2008",Lehman College
1001799,Melaka Solomon,Biology,BIO183,3.5,5,No Grade,0,0,"She's Crazy! Really spacey!! ALOT OF WORK FOR A SURVEY COURSE! Be prepared for alot of reading and wholeeeee lot of writing! easy grader, nice when she wants to be, hyper, extremely helpful!","May 7th, 2008",Lehman College
1001799,Melaka Solomon,Biology,BIO181,3.5,3,No Grade,0,0,Solomon is good teacher who gives great notes for the exams. DO NOT MIS A CLASS! especially for the summer session . Be prepared for an intense amount of reading. If you work you will do well.,"Jun 15th, 2007",Lehman College
1002530,Elizabeth Hollander,English,LEH352,1,3,A,0,0,This professor was very rude and was never clear on instructions for assigned work,"Dec 10th, 2024",Lehman College
1002530,Elizabeth Hollander,English,LEH353,3,4,B+,0,2,"She does her best to be nice but it's forced. The class wasn't as bad as I expected. Lots of reading and homework, a few papers, and a presentation. Usually accepts late work with no points off.  The lecture is extremely boring, she's passionate about what she's teaching but she doesn't make it very interesting. Didn't have to pay for any books.","Mar 25th, 2024",Lehman College
1002530,Elizabeth Hollander,English,LEH352,1,5,B,4,0,"I'm begging whoever is reading this to NEVER TAKE HOLLANDER FOR ANY OF YOUR CLASSES. Easily the worst professor in all of Lehman Heavy attitude, obnoxious fake laugh, and long lectures that have nothing to do with the extreme amount of work she will put you through. Will shave off many points over the smallest errors. TOUGH grader unclear feedback.","Jan 25th, 2024",Lehman College
1002530,Elizabeth Hollander,English,LEH353,1,1,Rather not say,6,0,"Mulitple disscussion board due at once. Tedious readings, three papers, and a presentation. I thought it would be a breeze on the first day of class. She seemed super sweet ad very organized. But, unfortunately, that was not the case. So I would not advise anyone to take her class! But if you do, be prepared to work!","Dec 30th, 2022",Lehman College
1002530,Elizabeth Hollander,English,LEH353,2,4,A,3,0,"Only online LEH course available so I took it, tedious busy work mixed with 3 major papers, prides herself of being demanding and exacting but not good with feedback or clear instructions, overall it was a frustrating experience, peer evaluation is NOT a replacement for professors criticism and guidance, does not respond to email, group roundup","Jul 5th, 2022",Lehman College
1002530,Elizabeth Hollander,English,LEH353,1,5,Drop/Withdrawal,4,0,"HORRIBLE decision.She is extremely rude,condescending,short tempered, low patience.Beware she gives ALOT of schoolwrk ,honestly DOUBLE the work of a normal class.Her lectures are extremly long and boring while she expects you to be as into ART history as her.When she grades your work shes just rude. DONT RECOMMEND!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","May 3rd, 2022",Lehman College
1002530,Elizabeth Hollander,English,LEH352,1,5,No Grade,0,0,Worst experience ever please run away from this Professor. First she requires you to purchase so many books which you will only use each one for one homework in addition she will ask you to purchase movies which you will need to do your discussions totally unnecessary to make your students purchase so many things when they only will be used once ��,"Jan 3rd, 2022",Lehman College
1002530,Elizabeth Hollander,English,LEH352,1,5,No Grade,0,0,Worst Professor ever please AVOID if possible. She gives soo much work and doesnt really teach you anything her readings are very boring and old. She goes off on students shes nice for a second s next second shes really mean you wont ever understand her. She gives an insane loads of work each week and requires so many textbooks avoiddd her!!!!!,"Dec 30th, 2021",Lehman College
1002530,Elizabeth Hollander,English,LEH352,1,5,Not sure yet,0,0,Doesnt give clear directions on how to get work done,"Dec 23rd, 2021",Lehman College
1002530,Elizabeth Hollander,English,LEH352,1,5,Drop/Withdrawal,0,0,"This professor is the WORST! I had to drop this class two and a half weeks in, she is way too harsh with students, spoke in a very derogatory way to me in conference call just because I said I was struggling with a Shakespeare assignment. Way too many assignments due for one week, & will call out students in public forum for the entire class to see","Sep 20th, 2021",Lehman College
1002530,Elizabeth Hollander,English,ENG307,5,4,A,0,1,"I had professor Hollander twice. I didn't like her because I thought she was harsh & a tough grader. I told myself never again, but had to take a class & she was the only professor available. The second time I thought she was amazing. I realized I was just being lazy. She can talk a lot but she knows her stuff & is very helpful when you need it.","Nov 24th, 2017",Lehman College
